ponto_id,latitude,longitude,data,ano,mes,duracao_horas,local_referencia,alvo_alagamento,altitude_m,declividade_graus,declividade_pct,distancia_rio_m,valor_oni,cenario_climatico,precipitacao_dia_mm,precipitacao_max_hora_mm,temp_media_c,umidade_relativa_media
FLOOD_00625,-23.58442,-46.58642,2019-03-11,2019,3,6.53,AV PAES DE BARROS,1,740.0,1.06,1.85,397.1,0.9,El Nino,56.6,22.0,20.6,87.4
FLOOD_01104,-23.51923,-46.67516,2019-12-14,2019,12,0.37,AV MARQ DE SAO VICENTE,1,730.0,5.87,10.29,756.3,0.8,El Nino,25.4,26.0,21.7,82.2
NOFLOOD_00283,-23.638997,-46.481816,2019-06-01,2019,6,0.0,Ponto de Controle Pseudo-Ausencia SP,0,822.0,8.11,14.25,842.8,0.6,El Nino,26.5,14.6,20.2,83.6
FLOOD_00698,-23.53704,-46.64996,2019-03-17,2019,3,0.07,AV S JOAO,1,750.0,7.87,13.82,844.3,0.9,El Nino,18.8,18.4,22.4,84.9
FLOOD_00116,-23.51923,-46.67516,2019-01-24,2019,1,1.1,AV MARQ DE SAO VICENTE,1,730.0,5.87,10.29,756.3,1.0,El Nino,21.0,29.8,23.7,78.6
NOFLOOD_00154,-23.485362,-46.701158,2019-02-07,2019,2,0.0,Ponto de Controle Pseudo-Ausencia SP,0,778.0,4.16,7.28,464.5,0.9,El Nino,0.6,1.0,20.1,79.7
NOFLOOD_00293,-23.44162,-46.520201,2019-03-02,2019,3,0.0,Ponto de Controle Pseudo-Ausencia SP,0,769.0,7.44,13.06,3049.7,0.9,El Nino,18.7,20.6,22.1,83.4
NOFLOOD_00073,-23.545644,-46.746381,2019-12-14,2019,12,0.0,Ponto de Controle Pseudo-Ausencia SP,0,765.0,5.34,9.35,968.5,0.8,El Nino,25.4,26.0,21.7,82.2
FLOOD_00445,-23.65426,-46.76376,2019-02-26,2019,2,0.15,AV CARLOS CALDEIRA FILHO,1,752.0,6.83,11.97,16.0,0.9,El Nino,52.9,14.0,20.8,86.1
NOFLOOD_01040,-23.687843,-46.461768,2019-01-17,2019,1,0.0,Ponto de Controle Pseudo-Ausencia SP,0,803.0,7.32,12.85,3837.3,1.0,El Nino,6.5,7.8,24.9,66.0
NOFLOOD_00686,-23.619061,-46.59922,2019-11-15,2019,11,0.0,Ponto de Controle Pseudo-Ausencia SP,0,785.0,3.78,6.61,205.2,0.7,El Nino,7.7,3.0,19.1,86.4
FLOOD_00791,-23.51611,-46.66687,2019-04-26,2019,4,0.42,MARGINAL TIETE,1,731.0,7.77,13.65,108.4,0.8,El Nino,13.8,10.2,22.3,82.6
NOFLOOD_00629,-23.748569,-46.514963,2019-07-04,2019,7,0.0,Ponto de Controle Pseudo-Ausencia SP,0,813.0,17.4,31.33,9837.3,0.4,Nao El Nino,65.9,10.4,16.5,89.9
FLOOD_00432,-23.568233,-46.607634,2019-02-26,2019,2,0.33,R PRES BATISTA PEREIRA,1,736.0,2.23,3.9,92.4,0.9,El Nino,52.9,14.0,20.8,86.1
