data,precipitacao_total_mm,precipitacao_max_horaria_mm,temp_media_c,temp_max_c,temp_min_c,umidade_relativa_media,ano,mes,dia
2019-01-01,3.3,2.4,23.37291666666667,30.9,19.9,76.79166666666667,2019,1,1
2019-01-02,22.200000000000003,41.2,25.362499999999997,32.6,20.9,74.23278985507247,2019,1,2
2019-01-03,15.5,18.0,26.6625,33.1,20.9,65.83333333333334,2019,1,3
2019-01-04,26.699999999999996,18.4,23.395833333333336,30.5,20.8,79.5625,2019,1,4
2019-01-05,28.2,6.8,21.9125,24.6,20.3,85.5625,2019,1,5
2019-01-06,24.0,14.6,23.164583333333336,29.2,20.1,80.8125,2019,1,6
2019-01-07,0.2,0.2,25.989583333333336,32.8,20.3,66.375,2019,1,7
2019-01-08,0.4,0.6,26.55833333333333,32.8,21.5,60.270833333333336,2019,1,8
2019-01-09,0.0,0.0,25.489583333333332,34.0,21.1,70.875,2019,1,9
2019-01-10,0.0,0.0,26.429166666666667,32.6,21.6,64.02083333333334,2019,1,10
2019-01-11,15.2,23.4,24.36041666666667,31.8,19.6,68.9375,2019,1,11
2019-01-12,0.0,0.0,24.191666666666663,29.7,20.3,74.6875,2019,1,12
2019-01-13,8.299999999999999,16.4,24.114583333333332,30.4,19.6,73.33333333333333,2019,1,13
2019-01-14,11.1,21.2,24.383333333333333,32.2,20.1,73.625,2019,1,14
2019-01-15,0.0,0.0,25.658333333333335,33.3,21.3,71.36050724637681,2019,1,15
2019-01-16,5.4,8.4,25.4625,31.8,20.5,69.1875,2019,1,16
2019-01-17,6.5,7.8,24.858333333333334,32.8,21.2,65.97916666666666,2019,1,17
2019-01-18,15.2,16.4,24.762500000000003,32.3,21.0,74.375,2019,1,18
2019-01-19,0.9,1.8,26.185416666666665,33.0,21.8,67.72916666666666,2019,1,19
2019-01-20,13.200000000000001,9.4,24.314583333333335,31.2,21.0,77.54166666666666,2019,1,20
2019-01-21,3.6,6.8,26.579166666666666,34.0,21.8,68.64583333333334,2019,1,21
2019-01-22,15.2,20.4,24.889583333333334,31.5,20.7,78.20833333333334,2019,1,22
2019-01-23,3.0,6.0,24.852083333333333,32.0,21.9,76.85416666666666,2019,1,23
2019-01-24,21.0,29.8,23.7375,28.9,19.4,78.58333333333334,2019,1,24
2019-01-25,24.6,15.4,21.889583333333334,26.4,17.9,81.89583333333333,2019,1,25
2019-01-26,7.9,8.0,21.16875,28.5,16.7,76.22916666666667,2019,1,26
2019-01-27,0.39999999999999997,0.6,24.004166666666663,31.3,19.4,66.89583333333334,2019,1,27
2019-01-28,0.0,0.0,26.174999999999997,33.8,20.7,63.41666666666667,2019,1,28
2019-01-29,0.7999999999999999,1.4,26.34375,33.2,21.7,64.77083333333333,2019,1,29
2019-01-30,24.1,38.2,26.233333333333334,34.4,18.0,63.37499999999999,2019,1,30
2019-01-31,0.0,0.0,26.55,33.6,20.2,57.68750000000001,2019,1,31
2019-02-01,0.0,0.0,26.93333333333333,34.9,20.4,53.791666666666664,2019,2,1
2019-02-02,0.0,0.0,26.666666666666664,35.6,20.3,66.10416666666666,2019,2,2
2019-02-03,0.0,0.0,24.875,30.1,21.4,73.91666666666666,2019,2,3
2019-02-04,79.5,56.0,19.90208333333333,23.1,17.5,86.9375,2019,2,4
